"Filename";"Keywords";"Length";"Description";"SourceString";"CategoryString"
"SY_sine_i.dat";"synthetic,periodic,1sine";"2001";"sin(0:0.05:100)";"Ben Fulcher Simulated";"Single sinusoid"
"SY_sine_ii.dat";"synthetic,periodic,1sine";"1001";"sin(0:0.1:100)";"Ben Fulcher Simulated";"Single sinusoid"
"SY_sine_iii.dat";"synthetic,periodic,1sine";"201";"sin(0:0.5:100)";"Ben Fulcher Simulated";"Single sinusoid"
"SY_sine_iv.dat";"synthetic,periodic,1sine";"201";"sin(0:0.1:20)";"Ben Fulcher Simulated";"Single sinusoid"
"SY_sine_v.dat";"synthetic,periodic,1sine";"5001";"sin(0:0.1:500)";"Ben Fulcher Simulated";"Single sinusoid"
"SY_sumsine_2_1.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_2.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_3.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_4.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_5.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_6.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_7.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_8.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_2_9.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Two sinusoids"
"SY_sumsine_3_1.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_2.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_3.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_4.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_5.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_6.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_7.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_8.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_sumsine_3_9.dat";"synthetic,periodic,3sine";"5000";;"Ben Fulcher Simulated";"Three sinusoids"
"SY_fsine_3.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_5.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_8.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_10.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_15.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_20.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_50.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_100.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_250.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_fsine_500.dat";"synthetic,periodic,1sine";"5000";;"Ben Fulcher Simulated";"Single sinusoid"
"SY_Caotorus_10_10000_0.1.dat";"synthetic,periodic,2sine,lownoise";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_10000_0.5.dat";"synthetic,periodic,2sine,noisy";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_10000_0.dat";"synthetic,periodic,2sine";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_1000_0.1.dat";"synthetic,periodic,2sine,lownoise";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_1000_0.5.dat";"synthetic,periodic,2sine,noisy";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_1000_0.dat";"synthetic,periodic,2sine";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_5000_0.1.dat";"synthetic,periodic,2sine,lownoise";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_5000_0.5.dat";"synthetic,periodic,2sine,noisy";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_10_5000_0.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_10000_0.1.dat";"synthetic,periodic,2sine,lownoise";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_10000_0.5.dat";"synthetic,periodic,2sine,noisy";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_10000_0.dat";"synthetic,periodic,2sine";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_1000_0.1.dat";"synthetic,periodic,2sine,lownoise";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_1000_0.5.dat";"synthetic,periodic,2sine,noisy";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_1000_0.dat";"synthetic,periodic,2sine";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_5000_0.1.dat";"synthetic,periodic,2sine,lownoise";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_5000_0.5.dat";"synthetic,periodic,2sine,noisy";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_1_5000_0.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_10000_0.1.dat";"synthetic,periodic,2sine,lownoise";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_10000_0.5.dat";"synthetic,periodic,2sine,noisy";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_10000_0.dat";"synthetic,periodic,2sine";"10000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_1000_0.1.dat";"synthetic,periodic,2sine,lownoise";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_1000_0.5.dat";"synthetic,periodic,2sine,noisy";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_1000_0.dat";"synthetic,periodic,2sine";"1000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_5000_0.1.dat";"synthetic,periodic,2sine,lownoise";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_5000_0.5.dat";"synthetic,periodic,2sine,noisy";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_Caotorus_5_5000_0.dat";"synthetic,periodic,2sine";"5000";;"Ben Fulcher Simulated";"Cao torus"
"SY_plnm_n_-0.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";
"SY_plnm_n_-0.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";
"SY_plnm_n_-0.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";
"SY_plnm_n_-0.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";
"SY_plnm_n_-0.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";
"SY_plnm_n_-0.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";
"SY_plnm_n_-0.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-0.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-0.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_-1_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
